Count positive,Count negative,Mean sentiment,Max,Min,Median,Sentiment
3,4,0.004507337526205463,0.9166666666666666,-0.4,0.0,1
5,0,0.03753387533875338,0.555555555555556,0.0,0.0,1
3,2,0.027777777777777794,0.888888888888889,-0.333333333333333,0.0,1
2,0,0.021505376344086,0.333333333333333,0.0,0.0,1
6,4,0.031481481481481485,1.0,-0.333333333333333,0.0,1
2,1,0.042857142857142816,1.166666666666665,-0.2,0.0,1
6,4,0.027862811791383203,1.0,-0.428571428571429,0.0,1
3,1,0.030409356725146185,0.6,-0.111111111111111,0.0,1
3,1,0.08045977011494253,1.0,-0.333333333333333,0.0,1
4,5,0.03174603174603177,1.0,-1.0,0.0,1
2,2,-0.03111111111111112,1.0,-1.0,0.0,0
2,2,-0.015384615384615387,1.0,-1.0,0.0,0
1,0,0.0333333333333333,0.333333333333333,0.0,0.0,0
1,0,0.0222222222222222,0.333333333333333,0.0,0.0,0
5,8,-0.02848101265822789,1.33333333333333,-1.04,0.0,0
2,4,-0.027863247863247863,1.0,-1.04,0.0,0
7,0,0.14102564102564102,0.8333333333333335,0.0,0.0,2
8,1,0.06382716049382715,1.133333333333334,-0.666666666666667,0.0,2
2,0,0.4,1.0,0.0,0.0,0
4,1,0.21428571428571427,1.0,-1.0,0.0,0
3,4,-0.029435028248587566,1.0,-1.0833333333333326,0.0,0
9,7,0.011847690387016227,1.0,-1.0833333333333326,0.0,0
1,2,-0.07142857142857142,1.0,-1.0,0.0,0
4,4,-0.011029411764705876,1.0,-1.0833333333333326,0.0,0
2,0,0.037634408602150546,1.0,0.0,0.0,0
1,1,0.030303030303030318,1.0,-0.333333333333333,0.0,0
0,0,0.0,0.0,0.0,0.0,0
0,0,0.0,0.0,0.0,0.0,0
2,0,0.01248097412480974,0.8,0.0,0.0,0
2,0,0.01001564945226917,0.6,0.0,0.0,0
2,0,0.021929824561403525,0.25,0.0,0.0,0
6,0,0.0427672955974843,1.0,0.0,0.0,0
0,1,-1.0,-1.0,-1.0,-1.0,0
0,3,-0.030601092896174867,0.0,-1.0,0.0,0
0,3,-0.22727272727272727,0.0,-1.0,0.0,0
1,5,-0.03897435897435897,0.333333333333333,-1.0,0.0,0
0,1,-0.3333333333333333,0.0,-1.0,0.0,0
3,11,-0.06122807017543861,1.166666666666665,-1.066666666666666,0.0,0
0,6,-0.5555555555555555,0.0,-1.11111111111111,-1.0,0
5,12,-0.07026748971193421,1.0,-1.66666666666667,0.0,0
2,1,0.011904761904761915,0.8333333333333335,-1.0,0.0,0
4,4,-0.022943722943722936,0.8333333333333335,-1.5,0.0,0
1,1,-0.0046296296296295825,1.0,-1.166666666666665,0.0,0
2,6,-0.015250150693188665,1.0,-1.0,0.0,0
1,0,0.008547008547008537,0.333333333333333,0.0,0.0,0
2,13,-0.09590094493320299,1.0,-1.5,0.0,0
1,0,0.015151515151515136,0.333333333333333,0.0,0.0,2
2,0,0.065359477124183,1.0,0.0,0.0,2
1,0,0.01666666666666665,0.333333333333333,0.0,0.0,2
4,0,0.04131054131054129,0.8333333333333335,0.0,0.0,2
0,0,0.0,0.0,0.0,0.0,2
0,1,-0.011494252873563206,0.0,-0.333333333333333,0.0,2
1,4,-0.11458333333333334,0.333333333333333,-1.0,0.0,0
2,0,0.1111111111111111,1.0,0.0,0.0,0
0,5,-0.24603174603174596,0.0,-1.166666666666665,0.0,0
7,4,0.07924836601307193,1.0,-1.166666666666665,0.0,0
1,4,-0.11805555555555551,1.0,-1.166666666666665,0.0,0
11,3,0.14092140921409213,1.0,-1.0,0.0,0
0,3,-0.10101010101010091,0.0,-1.166666666666665,0.0,0
8,2,0.18452380952380956,1.0,-1.166666666666665,0.0,0
4,0,0.07017543859649121,1.0,0.0,0.0,0
3,2,0.015046296296296321,1.0,-1.0833333333333326,0.0,0
4,1,0.04471544715447153,1.0,-0.8333333333333335,0.0,0
4,2,0.05734767025089606,1.0,-1.0,0.0,0
5,2,0.031944444444444456,1.0,-1.0,0.0,0
3,5,-0.0787037037037037,1.0,-1.0,0.0,0
4,4,0.020987654320987616,1.22222222222222,-1.0,0.0,0
5,0,0.1521739130434783,1.0,0.0,0.0,0
2,7,-0.006272401433691756,1.0,-1.0,0.0,0
3,4,-0.03333333333333334,1.0,-1.0,0.0,0
3,3,-0.003492063492063487,0.166666666666667,-0.2,0.0,0
1,0,0.034482758620689655,1.0,0.0,0.0,0
3,3,-0.0028381642512077254,1.125,-1.0,0.0,0
2,3,-0.0407407407407407,1.0,-1.11111111111111,0.0,0
1,1,0.0,1.0,-1.0,0.0,0
3,4,-0.019713261648745515,1.0,-1.5,0.0,0
7,2,0.07899305555555543,1.33333333333333,-1.0,0.0,0
1,3,-0.04411764705882347,1.0,-1.166666666666665,0.0,0
0,2,-0.101010101010101,0.0,-1.0,0.0,0
6,4,-0.007692307692307702,1.0,-1.0,0.0,0
1,0,0.0946502057613169,0.8518518518518521,0.0,0.0,0
3,0,0.1365079365079365,0.8,0.0,0.0,2
9,1,0.29708994708994685,1.22222222222222,-0.444444444444444,0.0,2
2,1,0.004597701149425279,0.8,-1.0,0.0,2
4,0,0.13675213675213665,1.22222222222222,0.0,0.0,2
